ZCTA5CE10,t_count
46001,7244
46011,10194
46012,12791
46013,13620
46016,12808
46017,4461
46030,1476
46031,374
46032,44807
46033,23439
46034,3777
46035,191
46036,1676
46037,27517
46038,36173
46039,38
46040,4305
46041,8291
46044,2044
46045,137
46048,1691
46049,546
46050,173
46051,973
46052,8911
46055,8357
46056,434
46057,113
46058,1225
46060,31023
46062,17491
46063,152
46064,13804
46065,341
46068,298
46069,1410
46070,726
46071,2497
46072,3743
46074,14774
46075,2041
46076,172
46077,15556
46103,8
46104,41
46105,412
46106,2574
46107,7807
46110,177
46111,176
46112,24585
46113,6442
46115,277
46117,420
46118,3746
46120,1168
46121,1359
46122,11600
46123,21092
46124,4918
46125,4
46126,2425
46127,3
46128,910
46130,653
46131,23701
46133,38
46135,6095
46140,20444
46142,24626
46143,34550
46144,24
46146,8
46147,897
46148,2378
46149,1273
46150,48
46151,11004
46155,1
46156,68
46157,828
46158,12501
46160,1169
46161,877
46162,138
46163,5399
46164,1290
46165,367
46166,751
46167,4756
46168,24584
46171,241
46172,407
46173,6386
46175,66
46176,8851
46180,516
46181,1058
46182,706
46183,21
46184,9735
46186,389
46201,34032
46202,51077
46203,21805
46204,61466
46205,18041
46208,22110
46214,17395
46216,1971
46217,19806
46218,8683
46219,22705
46220,30870
46221,13765
46222,27548
46224,21132
46225,26560
46226,16199
46227,42917
46228,9463
46229,12358
46231,5836
46234,13730
46235,12392
46236,12895
46237,31040
46239,14862
46240,20501
46241,24696
46250,23726
46254,20702
46256,11382
46259,7483
46260,12766
46268,24952
46278,10775
46280,5068
46290,669
46301,2896
46303,4486
46304,15469
46307,30853
46310,4203
46311,12828
46312,11035
46319,10239
46320,6406
46321,11973
46322,16298
46323,14801
46324,7237
46327,1665
46340,239
46341,12859
46342,13433
46345,23
46346,129
46347,1453
46348,319
46349,1607
46350,8039
46356,9241
46360,13071
46365,124
46366,1701
46368,17213
46371,1452
46373,6302
46374,71
46375,13784
46376,168
46377,20
46379,5
46381,5
46382,1844
46383,27712
46385,13089
46390,733
46391,3821
46392,2183
46393,13
46394,7173
46402,2616
46403,1610
46404,2226
46405,2566
46406,2201
46407,2540
46408,3112
46409,808
46410,29432
46501,905
46502,111
46504,1309
46506,4942
46507,5677
46508,57
46510,1026
46511,3318
46514,32387
46516,22349
46517,20289
46524,299
46526,18318
46528,7985
46530,21009
46531,97
46532,268
46534,2152
46536,2301
46537,28
46538,1970
46539,239
46540,2364
46542,1711
46543,277
46544,21648
46545,23873
46550,4808
46552,2503
46553,771
46554,731
46555,1285
46556,10713
46561,6792
46562,835
46563,14963
46565,1101
46567,5173
46570,145
46571,422
46573,1987
46574,1837
46580,14125
46582,4578
46590,4188
46595,48
46601,8065
46613,6115
46614,17996
46615,12363
46616,1789
46617,6029
46619,10328
46628,19166
46635,4888
46637,14679
46701,2066
46702,397
46703,12901
46704,4
46705,469
46706,9312
46710,1045
46711,3453
46714,3186
46721,1300
46723,6908
46725,9756
46730,605
46731,52
46732,685
46733,4546
46737,6162
46738,4740
46740,993
46741,438
46742,856
46743,685
46745,660
46746,1858
46747,1085
46748,1648
46750,11771
46755,6143
46759,52
46760,70
46761,5705
46763,648
46764,196
46765,2918
46766,556
46767,4207
46770,1682
46771,23
46772,336
46773,1894
46774,8526
46776,487
46777,1376
46779,938
46781,237
46783,3436
46784,178
46785,79
46786,9
46787,1303
46788,515
46791,161
46792,1009
46793,2435
46794,76
46795,1452
46797,1339
46798,317
46799,26
46802,10637
46803,3848
46804,26823
46805,19906
46806,6026
46807,6575
46808,18994
46809,7025
46814,5756
46815,21027
46816,3401
46818,13747
46819,2005
46825,20729
46835,28017
46845,13302
46901,19265
46902,21633
46910,460
46911,242
46913,83
46914,1628
46915,233
46917,519
46919,850
46920,91
46923,1761
46926,981
46928,1735
46929,450
46930,2
46931,3
46932,3293
46933,5048
46936,3687
46938,1150
46939,63
46940,1124
46941,301
46943,18
46946,3
46947,11127
46950,381
46951,273
46952,12492
46953,14663
46957,81
46958,158
46959,15
46960,789
46961,12
46962,6703
46967,1
46968,18
46970,6734
46974,154
46975,3805
46978,641
46979,1571
46982,239
46984,6
46985,229
46986,1092
46987,159
46988,59
46989,4419
46990,677
46991,435
46992,8727
46994,2043
46996,1972
46998,2
47001,4023
47003,180
47006,4619
47010,249
47011,230
47012,5033
47016,86
47017,41
47018,1226
47020,507
47022,730
47023,886
47024,302
47025,7946
47030,455
47031,906
47032,477
47034,6
47035,21
47036,134
47037,584
47038,86
47040,834
47041,3673
47042,1050
47043,899
47060,2043
47102,3028
47104,46
47106,1194
47108,224
47110,5
47111,6870
47112,8784
47114,36
47115,228
47116,232
47117,1082
47118,375
47119,9690
47120,47
47122,5079
47123,18
47124,2546
47125,107
47126,2045
47129,16252
47130,34761
47135,62
47136,1311
47137,156
47138,1924
47140,109
47141,472
47142,140
47143,837
47145,250
47147,31
47150,30819
47161,457
47162,64
47163,797
47164,3428
47165,3250
47166,103
47167,5806
47170,5509
47172,9454
47175,41
47177,864
47201,24901
47203,10402
47220,1573
47223,309
47224,7
47226,5
47227,648
47229,2133
47230,319
47231,93
47232,646
47234,192
47235,372
47240,6260
47243,4471
47244,198
47246,447
47247,9
47250,4717
47260,471
47263,20
47264,66
47265,5885
47270,81
47272,938
47273,534
47274,12106
47280,209
47281,2188
47282,80
47283,932
47302,28893
47303,52072
47304,29913
47305,5536
47306,23131
47320,790
47324,4
47325,13
47326,107
47327,1359
47330,4140
47331,4162
47334,3514
47335,388
47336,1030
47337,57
47338,1739
47339,36
47340,1079
47341,943
47342,1297
47344,14
47345,3213
47346,1212
47348,2711
47351,63
47352,953
47353,1425
47354,295
47355,694
47356,2516
47357,71
47358,209
47359,1734
47360,250
47361,9
47362,9983
47367,37
47368,1214
47369,53
47371,3028
47373,733
47374,47164
47380,122
47381,15
47382,7
47383,1522
47384,958
47385,655
47386,246
47387,701
47388,10
47390,3019
47393,902
47394,3662
47396,4797
47401,23197
47403,14295
47404,19497
47405,21529
47406,10018
47408,33266
47420,9
47421,12284
47424,1304
47427,114
47429,1104
47431,147
47432,1689
47433,390
47434,6
47436,136
47438,794
47441,2612
47443,283
47446,1229
47448,2697
47449,149
47451,635
47452,481
47453,54
47454,2967
47455,29
47456,141
47458,1
47459,282
47460,2990
47462,973
47464,2
47465,248
47468,260
47469,358
47470,340
47471,132
47501,6288
47512,314
47513,85
47514,5
47515,178
47516,448
47519,85
47520,669
47521,164
47522,13
47523,5016
47524,27
47525,9
47527,748
47528,25
47529,330
47531,30
47532,707
47535,4
47536,1
47537,437
47541,197
47542,1560
47546,4746
47550,57
47551,54
47552,114
47553,1267
47557,69
47558,584
47561,189
47562,2804
47564,103
47567,1169
47568,40
47574,1
47575,88
47576,44
47577,185
47578,64
47579,1417
47580,8
47581,165
47584,81
47585,15
47586,2222
47588,12
47590,120
47591,12121
47596,8
47597,144
47598,383
47601,6854
47610,2577
47611,447
47612,268
47613,1421
47615,675
47616,143
47619,961
47620,3614
47630,16906
47631,1454
47633,769
47634,869
47635,964
47637,969
47638,699
47639,4828
47640,152
47648,1794
47649,209
47660,1175
47665,1142
47666,2057
47670,4990
47683,10
47708,2565
47710,19662
47711,13477
47712,32419
47713,7860
47714,20773
47715,23907
47720,5758
47725,8005
47802,22918
47803,21526
47804,5508
47805,5050
47807,21343
47809,14211
47832,240
47833,312
47834,6133
47836,32
47837,81
47838,493
47840,251
47841,992
47842,2427
47846,55
47847,140
47848,134
47849,104
47850,1499
47853,15
47854,127
47855,2
47857,48
47858,17
47859,324
47860,414
47861,38
47862,100
47863,2
47865,1
47866,47
47868,131
47869,50
47871,9
47872,1760
47874,908
47876,623
47879,1029
47880,1
47881,27
47882,6437
47884,15
47885,1553
47901,3364
47904,6057
47905,25516
47906,50254
47907,6540
47909,18637
47916,1
47917,45
47918,2321
47920,264
47921,69
47922,206
47923,1648
47924,7
47925,193
47926,157
47928,462
47929,294
47930,46
47932,3407
47933,16359
47940,410
47941,554
47942,45
47943,3543
47944,389
47946,250
47948,105
47949,295
47950,781
47951,997
47952,107
47954,536
47955,138
47957,162
47959,402
47960,7318
47963,227
47965,93
47966,17
47967,191
47968,187
47969,2
47970,118
47971,135
47974,533
47975,118
47977,1100
47978,7352
47980,377
47981,112
47982,39
47983,14
47987,1216
47989,278
47990,186
47991,355
47992,501
47993,644
47994,60
47995,1393
47997,1
62863,1
None ,247
